company,symbol,weight,price,%_change
Pioneer Natural Resources Company,PXD,0.085783,126.32,(-0.02%)
M&T Bank Corporation,MTB,0.084879,158.19,-0.83%
Synopsys Inc.,SNPS,0.084747,136.21,(-3.22%)
Chipotle Mexican Grill Inc.,CMG,0.084368,820.5,-0.36%
Kroger Co.,KR,0.08409,25.74,(-0.16%)
Weyerhaeuser Company,WY,0.083616,27.79,(-0.39%)
Corteva Inc,CTVA,0.083579,27.8,-0.58%
Synchrony Financial,SYF,0.083156,33.62,(-0.12%)
AMETEK Inc.,AME,0.082602,91.37,-1.33%
Northern Trust Corporation,NTRS,0.082492,93.14,(-0.85%)
Fortive Corp.,FTV,0.081087,68.6,-0.91%
Vulcan Materials Company,VMC,0.080989,149.04,(-1.70%)
VeriSign Inc.,VRSN,0.080918,187.25,(-2.06%)
Fifth Third Bancorp,FITB,0.08056,27.48,-1.22%
McCormick & Company Incorporated,MKC,0.079249,156.8,(-2.37%)
Ameren Corporation,AEE,0.079134,80,(-0.47%)
United Airlines Holdings Inc.,UAL,0.079066,88.14,(-0.35%)
Rockwell Automation Inc.,ROK,0.078222,166.25,-1.69%
Clorox Company,CLX,0.077718,152.69,-1.39%
ResMed Inc.,RMD,0.077605,133.6,(-0.75%)
Ameriprise Financial Inc.,AMP,0.077397,147.54,-0.97%
Hewlett Packard Enterprise Co.,HPE,0.077308,15,-2.53%
Boston Properties Inc.,BXP,0.077133,130.12,(-1.15%)
MSCI Inc. Class A,MSCI,0.075849,215.89,(-3.43%)
Cadence Design Systems Inc.,CDNS,0.075674,65.2,(-2.07%)
Republic Services Inc.,RSG,0.075286,86.22,(-0.71%)
Keysight Technologies Inc,KEYS,0.075103,96.29,(-3.01%)
ANSYS Inc.,ANSS,0.074714,218.86,(-0.55%)
CMS Energy Corporation,CMS,0.074633,64.01,(-1.58%)
Expedia Group Inc.,EXPE,0.074339,132.14,(-0.55%)
Royal Caribbean Cruises Ltd.,RCL,0.073879,107.03,-0.09%
Church & Dwight Co. Inc.,CHD,0.073865,75.66,-1.37%
Fastenal Company,FAST,0.073762,32.23,-0.75%
Western Digital Corporation,WDC,0.073246,60.86,(-1.52%)
CBRE Group Inc. Class A,CBRE,0.072476,52.9,(-0.64%)
CDW Corp.,CDW,0.072279,121.79,(-1.30%)
KeyCorp,KEY,0.072154,17.86,-0.45%
Centene Corporation,CNC,0.071712,43.17,-0.09%
Cincinnati Financial Corporation,CINF,0.071531,115.76,(-0.71%)
D.R. Horton Inc.,DHI,0.071218,52.14,(-0.52%)
Carnival Corporation,CCL,0.070648,43.58,(-0.84%)
Alexandria Real Estate Equities Inc.,ARE,0.070442,153.11,(-0.73%)
HCP Inc.,HCP,0.070325,35.52,-0.40%
Kraft Heinz Company,KHC,0.070185,27.81,(-0.71%)
Mettler-Toledo International Inc.,MTD,0.070099,699.28,(-0.16%)
Equifax Inc.,EFX,0.069658,141.31,(-1.33%)
Martin Marietta Materials Inc.,MLM,0.068931,267.63,(-2.18%)
Omnicom Group Inc,OMC,0.068496,77.78,-1.17%
Halliburton Company,HAL,0.067489,18.73,(-2.80%)
Arthur J. Gallagher & Co.,AJG,0.067087,88.81,(-1.10%)
Laboratory Corporation of America Holdings,LH,0.066513,165.43,(-0.94%)
International Paper Company,IP,0.066239,41.66,-0.82%
Copart Inc.,CPRT,0.065775,79.71,(-1.48%)
